자백,jabaek,jabaeg,chabaek,capayk
감방,gambang,gambang,kambang,kampang
감비아,Gambia,Gambia,Kambia,Kampia
감사합니다,gamsahamnida,gamsahabnida,kamsahamnida,kāmsahapnita
감소,gamso,gamso,kamso,kāmso
감숙,Gamsuk,Gamsug,Kamsuk,Kamswuk
감시,gamsi,gamsi,kamsi,kamsi
감싸다,gamssada,gamssada,kamssada,kāmssata
감염,gamyeom,gam-yeom,kamyŏm,kām.yem
감옥,gamok,gam-og,kamok,kam.ok
감자,gamja,gamja,kamja,kāmca
감정,gamjeong,gamjeong,kamjŏng,kāmceng
감초,gamcho,gamcho,kamch'o,kamcho
감추다,gamchuda,gamchuda,kamch'uda,kamchwuta
감칠맛,gamchilmat,gamchilmas,kamch'ilmat,kāmchilmas
감탄,gamtan,gamtan,kamt'an,kāmthan
감탄사,gamtansa,gamtansa,kamt'ansa,kamthansa
감히,gamhi,gamhi,kamhi,kāmhi
갑각,gapgak,gabgag,kapkak,kapqkak
갑자기,gapjagi,gabjagi,kapchagi,kapqcaki
갑작스럽다,gapjakseureopda,gabjagseuleobda,kapchaksŭrŏpta,kapqcakqsulepqta
갑작스레,gapjakseure,gabjagseule,kapchaksŭre,kapqcakqsuley
갑충,gapchung,gabchung,kapch'ung,kapchwung
갑판,gappan,gabpan,kapp'an,kapphan
값어치,gabeochi,gabs-eochi,kabŏch'i,kaps.echi
강간,ganggan,ganggan,kanggan,kāngkan
강계,Ganggye,Ganggye,Kanggye,Kangkyey
강냉이,gangnaeng-i,gangnaeng-i,kangnaengi,kangnayng.i
강당,gangdang,gangdang,kangdang,kāngtang
강대국,gangdaeguk,gangdaegug,kangdaeguk,kangtaykwuk
강도다리,gangdodari,gangdodali,kangdodari,kangtotali
강력,gangnyeok,ganglyeog,kangnyŏk,kanglyek
강력하다,gangnyeokhada,ganglyeog-hada,kangnyŏkhada,kanglyek.hata
강렬하다,gangnyeolhada,ganglyeol-hada,kangnyŏrhada,kanglyel.hata
강물,gangmul,gangmul,kangmul,kangmul
강사,gangsa,gangsa,kangsa,kāngsa
강생이,gangsaeng-i,gangsaeng-i,kangsaengi,kangsayng.i
강서,Gangseo,Gangseo,Kangsŏ,Kangse
강설,gangseol,gangseol,kangsŏl,kāngsel
강세,gangse,gangse,kangse,kangsey
강소,Gangso,Gangso,Kangso,Kangso
강수량,gangsuryang,gangsulyang,kangsuryang,kāngswulyang
강아지,gang-aji,gang-aji,kangaji,kang.aci
강요하다,gang-yohada,gang-yohada,kangyohada,kāng.yohata
강원도,Gang-wondo,Gang-wondo,Kangwŏndo,Kang.wento
강의,gang-ui,gang-ui,kangŭi,kāng.uy
강정,gangjeong,gangjeong,kangjŏng,kangceng
강제,gangje,gangje,kangje,kāngcey
강조하다,gangjohada,gangjohada,kangjohada,kangcohata
강좌,gangjwa,gangjwa,kangjwa,kāngcwa
강주걱양태,gangjugeogyangtae,gangjugeog-yangtae,kangchugŏgyangt'ae,kangqcwukek.yangthay
강준치,gangjunchi,gangjunchi,kangjunch'i,kangcwunchi
강철,gangcheol,gangcheol,kangch'ŏl,kangchel
강추,gangchu,gangchu,kangch'u,kangchwu
강판,gangpan,gangpan,kangp'an,kangphan
강하다,ganghada,ganghada,kanghada,kanghata
강화도,ganghwado,ganghwado,kanghwado,kanghwato
강화하다,ganghwahada,ganghwahada,kanghwahada,kanghwahata
갖가지,gatgaji,gajgaji,katkaji,kacqkaci
갖다,gatda,gajda,katta,kacqta
갖추다,gatchuda,gajchuda,katch'uda,kacchwuta
같이,gachi,gat-i,kachi,kath.i
같이하다,gachihada,gat-ihada,kachihada,kath.ihata
같잖다,gatjanta,gatjanhda,katchant'a,kathqcanhta
개가하다,gaegahada,gaegahada,kaegahada,kāykahata
개관식,gaegwansik,gaegwansig,kaegwansik,kaykwansik
개구락지,gaegurakji,gaegulagji,kaegurakchi,kaykwulakqci
개구리,gaeguri,gaeguli,kaeguri,kaykwuli
개구리꺽정이,gaegurikkeokjeong-i,gaegulikkeogjeong-i,kaegurikkŏkchŏngi,kaykwulikkekqceng.i
개구리매,gaegurimae,gaegulimae,kaegurimae,kaykwulimay
개구쟁이,gaegujaeng-i,gaegujaeng-i,kaegujaengi,kaykwucayng.i
개국,gaeguk,gaegug,kaeguk,kaykwuk
개꿈,gaekkum,gaekkum,kaekkum,kāykkwum
개꿩,gaekkwong,gaekkwong,kaekkwŏng,kāykkweng
개나리꽃,gaenarikkot,gaenalikkoch,kaenarikkot,kāynalikkoch
개념,gaenyeom,gaenyeom,kaenyŏm,kāynyem
개다,gaeda,gaeda,kaeda,kāyta
개량,gaeryang,gaelyang,kaeryang,kāylyang
개리,gaeri,gaeli,kaeri,kayli
개미,gaemi,gaemi,kaemi,kāymi
개발되다,gaebaldoeda,gaebaldoeda,kaebaldoeda,kaypaltoyta
개방,gaebang,gaebang,kaebang,kaypang
개방하다,gaebanghada,gaebanghada,kaebanghada,kaypanghata
개벽,gaebyeok,gaebyeog,kaebyŏk,kaypyek
개별자,gaebyeolja,gaebyeolja,kaebyŏlcha,kāypyelqca
개살구,gaesalgu,gaesalgu,kaesalgu,kaysalkwu
개새끼,gaesaekki,gaesaekki,kaesaekki,kāysaykki
개선,gaeseon,gaeseon,kaesŏn,kāysen
개선하다,gaeseonhada,gaeseon-hada,kaesŏnhada,kāysen.hata
개성,gaeseong,gaeseong,kaesŏng,kāyseng
개소겡,gaesogeng,gaesogeng,kaesogeng,kaysokeyng
개수,gaesu,gaesu,kaesu,kāyswu
개시,gaesi,gaesi,kaesi,kaysi
개월,gaewol,gaewol,kaewŏl,kaywel
개인숭배,gaeinsungbae,gaeinsungbae,kaeinsungbae,kāyinswungpay
개인적,gaeinjeok,gaeinjeog,kaeinjŏk,kāyincek
개자식,gaejasik,gaejasig,kaejasik,kāycasik
개장,gaejang,gaejang,kaejang,kaycang
개장국,gaejangguk,gaejanggug,kaejangkuk,kāycangqkwuk
개저씨,gaejeossi,gaejeossi,kaejŏssi,kaycessi
개지랄,gaejiral,gaejilal,kaejiral,kāycilal
개지랄하다,gaejiralhada,gaejilal-hada,kaejirarhada,kāycilal.hata
개천,Gaecheon,Gaecheon,Kaech'ŏn,Kāychen
개판,gaepan,gaepan,kaep'an,kāyphan
개학,gaehak,gaehag,kaehak,kayhak
개한민국,gaehanmin-guk,gaehanmingug,kaehanmin'guk,kayhanminkwuk
개혁,gaehyeok,gaehyeog,kaehyŏk,kāyhyek
개회식,gaehoesik,gaehoesig,kaehoesik,kayhoysik
객공잡이,gaekgongjabi,gaeggongjab-i,kaekkongjabi,kaykqkongcap.i
객관,gaekgwan,gaeggwan,kaekkwan,kaykqkwan
객관적,gaekgwanjeok,gaeggwanjeog,kaekkwanjŏk,kaykqkwancek
객기,gaekgi,gaeggi,kaekki,kaykqki
객실,gaeksil,gaegsil,kaeksil,kaykqsil
객쩍다,gaekjjeokda,gaegjjeogda,kaektchŏkta,kaykccekqta
객차,gaekcha,gaegcha,kaekch'a,kaykcha
객체,gaekche,gaegche,kaekch'e,kaykchey
갤러리,gaelleori,gaelleoli,kaellŏri,kaylleli
갤리,gaelli,gaelli,kaelli,kaylli
갯과,gaetgwa,gaesgwa,kaetkwa,kāysqkwa
갯첨서,gaetcheomseo,gaescheomseo,kaetch'ŏmsŏ,kayschemse
갱개,gaenggae,gaenggae,kaenggae,kāyngkay
갸울다,gyaulda,gyaulda,kyaulda,kyawulta
갸웃,gyaut,gyaus,kyaut,kyawus
갸웃거리다,gyautgeorida,gyausgeolida,kyautkŏrida,kyawusqkelita
거기,geogi,geogi,kŏgi,keki
거꾸로,geokkuro,geokkulo,kŏkkuro,kekkwulo
거두다,geoduda,geoduda,kŏduda,ketwuta
거드름,geodeureum,geodeuleum,kŏdŭrŭm,kētulum
거듭,geodeup,geodeub,kŏdŭp,ketup
거듭씨,geodeupssi,geodeubssi,kŏdŭpssi,ketupssi
거듭홀소리,geodeupholsori,geodeub-holsoli,kŏdŭpholsori,ketup.holsoli
거래,georae,geolae,kŏrae,kēlay
거렁뱅이,georeongbaeng-i,geoleongbaeng-i,kŏrŏngbaengi,kelengpayng.i
거룩하다,georukhada,geolug-hada,kŏrukhada,kēlwuk.hata
거류,georyu,geolyu,kŏryu,kelyu
거르다,georeuda,geoleuda,kŏrŭda,keluta
거리,geori,geoli,kŏri,keli
거리다,georida,geolida,kŏrida,kelita
거만,geoman,geoman,kŏman,kēman
거만하다,geomanhada,geoman-hada,kŏmanhada,kēman.hata
거머리,geomeori,geomeoli,kŏmŏri,kēmeli
거문고,geomun-go,geomungo,kŏmun'go,kemunko
거미,geomi,geomi,kŏmi,kemi
거미줄,geomijul,geomijul,kŏmijul,kemicwul
거부하다,geobuhada,geobuhada,kŏbuhada,kēpuhata
거북,geobuk,geobug,kŏbuk,kepuk
거북이,geobugi,geobug-i,kŏbugi,kepuk.i
거세다,geoseda,geoseda,kŏseda,keseyta
거스러미,geoseureomi,geoseuleomi,kŏsŭrŏmi,kesulemi
거스르다,geoseureuda,geoseuleuda,kŏsŭrŭda,kesuluta
거스름돈,geoseureumdon,geoseuleumdon,kŏsŭrŭmton,kesulumqton
거실,geosil,geosil,kŏsil,kesil
거야,geoya,geoya,kŏya,kēya
거울,geoul,geoul,kŏul,kewul
거웃,geout,geous,kŏut,kewus
거위,geowi,geowi,kŏwi,kewi
거의,geoui,geoui,kŏŭi,keuy
거인,geoin,geoin,kŏin,kēin
거주,geoju,geoju,kŏju,kecwu
거주하다,geojuhada,geojuhada,kŏjuhada,kecwuhata
거즈,geojeu,geojeu,kŏjŭ,kecu
거지,geoji,geoji,kŏji,kēci
거짓,geojit,geojis,kŏjit,kēcis
거짓말,geojinmal,geojismal,kŏjinmal,kēcismal
거짓말쟁이,geojinmaljaeng-i,geojismaljaeng-i,kŏjinmaljaengi,kēcismalcayng.i
거짓말하다,geojinmalhada,geojismal-hada,kŏjinmarhada,kēcismal.hata
거치다,geochida,geochida,kŏch'ida,kechita
거치적거리다,geochijeokgeorida,geochijeoggeolida,kŏch'ijŏkkŏrida,kechicekqkelita
거칠다,geochilda,geochilda,kŏch'ilda,kechilta
거품,geopum,geopum,kŏp'um,kephum
걱정,geokjeong,geogjeong,kŏkchŏng,kekqceng
걱정되다,geokjeongdoeda,geogjeongdoeda,kŏkchŏngdoeda,kekqcengtoyta
걱정하다,geokjeonghada,geogjeonghada,kŏkchŏnghada,kekqcenghata
건강,geon-gang,geongang,kŏn'gang,kēnkang
건강하다,geon-ganghada,geonganghada,kŏn'ganghada,kēnkanghata
건강히,geon-ganghi,geonganghi,kŏn'ganghi,kēnkanghi
건너가다,geonneogada,geonneogada,kŏnnŏgada,kēnnekata
건너오다,geonneooda,geonneooda,kŏnnŏoda,kēnneota
건너편,geonneopyeon,geonneopyeon,kŏnnŏp'yŏn,kēnnephyen
건널목,geonneolmok,geonneolmog,kŏnnŏlmok,kēnnelmok
건네다,geonneda,geonneda,kŏnneda,kēnneyta
건달,geondal,geondal,kŏndal,kental
건드리다,geondeurida,geondeulida,kŏndŭrida,kēntulita
건망증,geonmangjeung,geonmangjeung,kŏnmangchŭng,kēnmangqcung
건물,geonmul,geonmul,kŏnmul,kēnmul
건반,geonban,geonban,kŏnban,kenpan
건배,geonbae,geonbae,kŏnbae,kenpay
건설,geonseol,geonseol,kŏnsŏl,kēnsel
건설하다,geonseolhada,geonseol-hada,kŏnsŏrhada,kēnsel.hata
건의,geonui,geon-ui,kŏnŭi,kēn.uy
건조기,geonjogi,geonjogi,kŏnjogi,kencoki
건조하다,geonjohada,geonjohada,kŏnjohada,kencohata
건지다,geonjida,geonjida,kŏnjida,kencita
건초,geoncho,geoncho,kŏnch'o,kencho
건축,geonchuk,geonchug,kŏnch'uk,kēnchwuk
건축가,geonchukga,geonchugga,kŏnch'ukka,kēnchwukqka
건축물,geonchungmul,geonchugmul,kŏnch'ungmul,kēnchwukmul
건축학,geonchukhak,geonchug-hag,kŏnch'ukhak,kēnchwuk.hak
걷기,geotgi,geodgi,kŏtki,kētqki
걷다,geotda,geodda,kŏtta,kētqta
걸다,geolda,geolda,kŏlda,kēlta
걸레,geolle,geolle,kŏlle,kelley
걸리다,geollida,geollida,kŏllida,kellita
걸림씨,geollimssi,geollimssi,kŏllimssi,kellimssi
걸신,geolsin,geolsin,kŏlssin,kelqsin
걸어가다,georeogada,geol-eogada,kŏrŏgada,kel.ekata
걸음,georeum,geol-eum,kŏrŭm,kel.um
걸음걸이,georeumgeori,geol-eumgeol-i,kŏrŭmgŏri,kel.umkel.i
걸음마,georeumma,geol-eumma,kŏrŭmma,kel.umma
걸인,georin,geol-in,kŏrin,kel.in
걸작,geoljak,geoljag,kŏlchak,kelqcak
걸쭉하다,geoljjukhada,geoljjug-hada,kŏltchukhada,kelccwuk.hata
걸치다,geolchida,geolchida,kŏlch'ida,kēlchita
걸프렌드,geolpeurendeu,geolpeulendeu,kŏlp'ŭrendŭ,kelphuleyntu
걸핏걸핏,geolpitgeolpit,geolpisgeolpis,kŏlp'itkŏlp'it,kelphisqkelphis
검다,geomda,geomda,kŏmda,kēmta
검댕,geomdaeng,geomdaeng,kŏmtaeng,kemqtayng
검독수리,geomdoksuri,geomdogsuli,kŏmdoksuri,kemtokqswuli
검둥오리,geomdung-ori,geomdung-oli,kŏmdungori,kemtwung.oli
